year,region,season,lead_month,sumDry_for,normal_for,sumMonsoon_for,sumDry_obs,normal_obs,sumMonsoon_obs,avgPCP_mmDay,antecedent_3m_for,antecedent_2m_for,antecedent_1m_for,antecedent_3m_obs,antecedent_2m_obs,antecedent_1m_obs,sumq_for,sumq_obs,sumtclw_for,sumtclw_obs,sumtcwv_for,sumtcwv_obs,sumtprate_for,sumtprate_obs,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi_obs,ant_soi_for,ant_mei_obs,ant_mei_for,ant_dsst3.4_obs,ant_dsst3.4_for
2016,AZ_East,AS,4.0,5.76,27.28,27.96,9,39,13,2.0070674,9.248720533333331e-09,1.1994426000000002e-08,2.0103478e-08,7.130448501556714e-09,3.215219902925926e-09,1.7769705008252312e-09,0.019294027,0.0160993844112085,0.112355214,0.061474215730337,49.166416,40.446460510743634,5.4605936e-08,4.1210843386607645e-08,,,,,,,0.7,-0.1,-0.27,1.32,-0.57,1.61
2017,AZ_East,AS,4.0,8.76,29.24,23.0,13,34,14,0.96314979,9.6154069e-09,1.2608238e-08,2.0451834e-08,1.6364414777196758e-08,1.1145347108562502e-08,5.009009349859954e-09,0.018140954,0.0147894691359483,0.102716901,0.041301592149686,46.699536,37.42018552780624,4.8095147e-08,1.7550364294684028e-08,,,,,,,0.5,0.9,-0.73,-0.58,-0.16,0.03
2018,AZ_East,AS,4.0,7.92,27.53,25.54,11,35,15,1.378445,1.11634299e-08,1.489465285e-08,2.3291896e-08,9.063313017450232e-09,1.0928325032070604e-08,5.873660894275463e-09,0.018802555,0.0164279626918881,0.1088213589999999,0.0434722408290397,47.789094000000006,41.885080551092486,5.3745259e-08,2.7030600429239585e-08,,,,,,,-0.3,1.5,0.46,-0.8,0.09,-0.8
2019,AZ_East,AS,4.0,8.629999999999999,28.02,24.35,11,42,8,1.32670355,9.9538498e-09,1.24614677e-08,2.0229754e-08,2.005218547086536e-08,2.2879298482292826e-08,1.4848740158986112e-08,0.0181802189999999,0.0163766424376331,0.102640945,0.0529192086524135,47.146036,41.56395072613592,4.493332e-08,2.899899384085533e-08,,,,,,,-0.1,-0.3,0.32,0.76,0.04,0.8
2020,AZ_East,AS,4.0,8.11,28.44,24.450000000000003,34,26,1,0.43167562,9.768183733333331e-09,1.31481925e-08,2.2866274e-08,1.3475424364781637e-08,1.6591260656129052e-08,2.0956430391564817e-08,0.018721056,0.0124257188430576,0.10632552,0.0197598053103451,47.986002,33.81689502165246,4.7936705e-08,9.9567219388125e-09,,,,,,,1.1,-0.1,-0.96,0.13,-0.59,0.48
2021,AZ_East,AS,4.0,10.02,24.75,26.24,7,38,16,1.8160722,1.0105736666666666e-08,1.4066903150000001e-08,2.3208992e-08,9.311207099292438e-09,6.997905633501158e-09,8.674221391761574e-09,0.01857699,0.0172802286070323,0.106010482,0.0606890653512213,47.33254,42.71005372004944,4.8986688e-08,3.973583711347917e-08,,,,,,,0.6,0.4,-1.29,-0.79,-0.53,-0.8
2022,AZ_East,AS,4.0,8.17,25.98,26.85,2,24,35,2.2785555,1.15730632e-08,1.6173274e-08,2.6288083e-08,,,,0.018775374,0.0193233512054128,0.1083279799999999,0.0620163085635294,48.071038,48.992654545325074,5.1276203e-08,4.6205705519378473e-08,,,,,,,1.0,1.8,-1.75,-1.31,-0.97,-0.97
2023,AZ_East,AS,4.0,9.65,28.85,22.51,19,17,25,1.21802225,7.639735733333333e-09,1.014009375e-08,1.6682119e-08,,,,0.0182003609999999,0.01497340254193,0.1009959129999999,0.0414131821323084,47.056345,40.48464001405676,4.4614873e-08,2.036521324603704e-08,,,,,,,-0.8,0.2,0.51,-0.76,1.35,-0.11
1981,AZ_East,AS,5.0,14.12,27.84,19.04,5,29,27,1.3243652,1.0542747533333332e-08,1.4846271499999998e-08,2.4687147e-08,,,,0.0174332683,0.0172425868070635,0.0989858459999999,0.0430389545548668,44.44363,42.8447744298272,4.1366109e-08,3.559418634624537e-08,,,,,,,0.7,-1.3,-0.34,0.33,-0.32,-0.51
1982,AZ_East,AS,5.0,10.56,31.52,18.92,2,21,38,2.08395075,7.482772333333332e-09,1.015377185e-08,1.705126e-08,,,,0.0174811115,0.0189172214795764,0.097347572,0.0597798417563555,44.613249,46.552758927162245,4.2020405e-08,5.22075623275949e-08,,,,,,,-1.7,0.6,1.91,-0.27,0.93,0.25
1983,AZ_East,AS,5.0,12.88,33.36,14.76,0,18,43,2.74231515,7.314629e-09,8.576101e-09,1.3278831e-08,,,,0.0170452402,0.0197577469470944,0.092677524,0.0654340715938976,43.325422,49.08580291986513,4.000406200000001e-08,5.595546850201041e-08,,,,,,,0.1,-2.4,-0.17,2.61,-0.04,1.49
1984,AZ_East,AS,5.0,11.04,25.24,24.72,5,19,37,2.49073135,9.538254866666669e-09,1.28113113e-08,2.1489225e-08,,,,0.0183350164,0.0189047614587746,0.1051068,0.0592424723086708,45.327402,45.95344185463483,5.0836661e-08,5.4261686462415514e-08,,,,,,,0.4,-0.2,-0.2,-0.16,-0.04,-0.39
