Year,Month,init_Month,Region,q,tclw,tcwv,tprate
1985,10,6,AZ_East,0.004923077,0.017562436,10.997965,1.0998325e-08
1985,11,6,AZ_East,0.0034833122,0.019483732,7.2378464,1.5221199e-08
1985,7,7,AZ_East,0.008392128,0.049496047,23.416311,1.9951417e-08
1985,8,7,AZ_East,0.0098603,0.059459373,25.414549,2.7780283e-08
1985,9,7,AZ_East,0.007823908,0.040847868,19.1042,1.7496362e-08
1985,10,7,AZ_East,0.0050237393,0.018880615,11.217315,1.1815465e-08
1985,11,7,AZ_East,0.0036483854,0.016648183,7.482779,1.3322912e-08
1985,12,7,AZ_East,0.0030817096,0.02198569,6.538255,1.5878197e-08
1985,1,8,AZ_East,0.0029727756,0.02056481,6.4551682,1.757166e-08
1985,8,8,AZ_East,0.00954385,0.05726496,24.797907,2.5839508e-08
1985,9,8,AZ_East,0.007680014,0.03859666,18.656034,1.902023e-08
1985,10,8,AZ_East,0.0050489143,0.018564507,11.345326,9.898621e-09
1985,11,8,AZ_East,0.0035489658,0.01830491,7.5265684,1.2869889e-08
1985,12,8,AZ_East,0.0029538025,0.020796832,6.282785,1.5041516e-08
1985,1,9,AZ_East,0.003058847,0.01816383,6.5044413,1.3587894e-08
1985,2,9,AZ_East,0.0031873,0.019359525,6.7542872,1.7847944e-08
1985,9,9,AZ_East,0.006553239,0.03096457,16.361671,1.3941003e-08
1985,10,9,AZ_East,0.004958674,0.021517443,11.251851,1.2734266e-08
1985,11,9,AZ_East,0.0036709723,0.015047661,7.517856,1.2147018e-08
1985,12,9,AZ_East,0.0031102288,0.0197031,6.561033,1.5122476e-08
1985,1,10,AZ_East,0.002864498,0.022075914,6.2463036,1.5739277e-08
1985,2,10,AZ_East,0.0030592286,0.01564866,6.3515964,1.3261328e-08
1985,3,10,AZ_East,0.0032452287,0.013299363,7.1989307,1.2714776e-08
1985,10,10,AZ_East,0.005510007,0.022231374,11.882345,1.2358528e-08
1985,11,10,AZ_East,0.0036986973,0.018295055,7.6905513,1.5014978e-08
1985,12,10,AZ_East,0.003114186,0.0226204,6.680081,1.723963e-08
1986,4,4,AZ_East,0.0033238977,0.011618329,7.7915883,1.12605365e-08
1986,5,4,AZ_East,0.0032239414,0.0062577194,8.652863,3.5236205e-09
1986,6,4,AZ_East,0.004633322,0.0154813165,13.227219,7.2285498e-09
1986,7,4,AZ_East,0.008377402,0.049332168,23.423038,1.896326e-08
1986,8,4,AZ_East,0.009656004,0.057692137,25.153585,2.848967e-08
1986,9,4,AZ_East,0.007602492,0.038907256,18.646006,1.988699e-08
1986,5,5,AZ_East,0.0033104976,0.006871589,8.9625025,3.6092516e-09
1986,6,5,AZ_East,0.0048710257,0.01790337,13.950531,6.4694317e-09
1986,7,5,AZ_East,0.009141474,0.05461801,24.958803,2.5394943e-08
1986,8,5,AZ_East,0.010450468,0.0652191,26.667336,3.740121e-08
1986,9,5,AZ_East,0.007864916,0.040642824,19.267733,1.7239561e-08
1986,10,5,AZ_East,0.0052654054,0.021687945,11.703782,1.2817324e-08
1986,6,6,AZ_East,0.005410201,0.02205166,15.872773,6.497317e-09
1986,7,6,AZ_East,0.008937936,0.054282602,24.735645,2.2106324e-08
1986,8,6,AZ_East,0.01015462,0.06393573,26.326782,3.2806255e-08
1986,9,6,AZ_East,0.00820906,0.043571077,19.821327,2.1809436e-08
1986,10,6,AZ_East,0.0053350553,0.022381933,11.965411,1.3939158e-08
1986,11,6,AZ_East,0.004106855,0.025615701,8.407062,1.9731454e-08
1986,7,7,AZ_East,0.009217548,0.056307428,24.822634,2.829985e-08
1986,8,7,AZ_East,0.010320433,0.06390483,26.442268,3.1772274e-08
1986,9,7,AZ_East,0.007926643,0.04126409,19.382898,2.0533383e-08
1986,10,7,AZ_East,0.0053916536,0.024653032,11.945615,1.5781492e-08
1986,11,7,AZ_East,0.0038587884,0.018366609,7.9506297,1.522413e-08
1986,12,7,AZ_East,0.0032754592,0.026984414,6.9806533,1.8923698e-08
1986,1,8,AZ_East,0.0030181382,0.023459617,6.48381,2.0447994e-08
1986,8,8,AZ_East,0.009148934,0.052015614,24.319242,2.2498135e-08
1986,9,8,AZ_East,0.007732542,0.03888564,19.140953,1.724655e-08
1986,10,8,AZ_East,0.0055226437,0.023767916,12.4260235,1.5877013e-08
1986,11,8,AZ_East,0.003818121,0.0181208,7.8252044,1.3980072e-08
1986,12,8,AZ_East,0.003033923,0.025647134,6.5155935,1.8030825e-08
1986,1,9,AZ_East,0.003063973,0.022667775,6.6667814,1.6281815e-08
1986,2,9,AZ_East,0.0030677181,0.018183935,6.5955772,1.6358236e-08
1986,9,9,AZ_East,0.0065734778,0.027352385,16.013361,9.97661e-09
1986,10,9,AZ_East,0.005082435,0.02211679,11.642669,1.1695382e-08
1986,11,9,AZ_East,0.003557582,0.017000912,7.3736267,1.1471333e-08
1986,12,9,AZ_East,0.0031382274,0.028273495,6.742633,1.9428072e-08
1986,1,10,AZ_East,0.002925115,0.021417022,6.310686,1.5532512e-08
1986,2,10,AZ_East,0.003080291,0.015696017,6.446138,1.4738522e-08
1986,3,10,AZ_East,0.0030009903,0.010957767,6.5165224,1.14122045e-08
1986,10,10,AZ_East,0.0051507163,0.020582814,11.236659,1.2540624e-08
1986,11,10,AZ_East,0.003784433,0.019460576,7.934055,1.3531378e-08
1986,12,10,AZ_East,0.0029769968,0.02130538,6.415974,1.5331281e-08
1987,4,4,AZ_East,0.0034665782,0.013305736,8.014372,1.31906575e-08
1987,5,4,AZ_East,0.0035659834,0.009562055,9.025336,6.1768963e-09
1987,6,4,AZ_East,0.0035331007,0.006844339,9.963611,2.0153557e-09
1987,7,4,AZ_East,0.007588271,0.039739344,21.270061,1.5858111e-08
1987,8,4,AZ_East,0.009132688,0.053026088,24.171307,2.1571447e-08
1987,9,4,AZ_East,0.007481265,0.037003156,18.37819,1.7701117e-08
1987,5,5,AZ_East,0.004512119,0.017074585,11.597888,9.90641e-09
1987,6,5,AZ_East,0.0045353933,0.015563731,12.711711,6.241016e-09
1987,7,5,AZ_East,0.008050486,0.044628136,22.349575,1.9046547e-08
1987,8,5,AZ_East,0.00976033,0.05652701,25.49744,2.6364212e-08
1987,9,5,AZ_East,0.0075671226,0.037623435,18.783424,1.6502218e-08
1987,10,5,AZ_East,0.005228667,0.021955961,11.793671,1.25247235e-08
1987,6,6,AZ_East,0.005547033,0.024497196,15.298867,1.1325359e-08
1987,7,6,AZ_East,0.008524723,0.048577126,23.655972,2.0159744e-08
1987,8,6,AZ_East,0.009962228,0.057618227,25.509417,2.8028778e-08
1987,9,6,AZ_East,0.0076632015,0.03874395,18.770218,1.8172098e-08
1987,10,6,AZ_East,0.0050598993,0.017251084,11.435177,1.0162005e-08
1987,11,6,AZ_East,0.003444515,0.01542949,7.0882206,1.23142305e-08
1987,7,7,AZ_East,0.0063637462,0.030572582,17.979053,1.1887049e-08
1987,8,7,AZ_East,0.009965005,0.06075136,25.98571,2.97592e-08
1987,9,7,AZ_East,0.0074306936,0.03542768,18.53051,1.2743061e-08
1987,10,7,AZ_East,0.0049350434,0.017863967,11.07438,9.712365e-09
1987,11,7,AZ_East,0.003635967,0.016154803,7.6586723,1.1607557e-08
1987,12,7,AZ_East,0.0028395806,0.018574022,5.916589,1.4943781e-08
1987,1,8,AZ_East,0.0032468392,0.027703283,7.019101,1.9954792e-08
1987,8,8,AZ_East,0.010885442,0.06530855,27.534641,3.5810814e-08
1987,9,8,AZ_East,0.0073899482,0.034223344,17.984934,1.5821636e-08
1987,10,8,AZ_East,0.00474183,0.014970434,10.758771,9.010891e-09
1987,11,8,AZ_East,0.0035507036,0.015426205,7.310121,1.0686606e-08
1987,12,8,AZ_East,0.0027316427,0.015183608,5.8786535,1.2970204e-08
1987,1,9,AZ_East,0.0030134383,0.02497169,6.404971,1.8136273e-08
1987,2,9,AZ_East,0.0032521568,0.0260814,6.81172,2.2653744e-08
1987,9,9,AZ_East,0.0051566567,0.016569806,13.328287,6.0980674e-09
1987,10,9,AZ_East,0.0044375984,0.013718261,10.24001,8.323336e-09
1987,11,9,AZ_East,0.0035253172,0.016431957,7.5226703,1.13464385e-08
1987,12,9,AZ_East,0.0028930518,0.01984865,6.2240644,1.6819241e-08
1987,1,10,AZ_East,0.002987556,0.024661992,6.3962855,1.7830414e-08
1987,2,10,AZ_East,0.0033341893,0.021861231,6.9457135,1.8774308e-08
1987,3,10,AZ_East,0.003353038,0.016844537,7.075029,1.6818172e-08
1987,10,10,AZ_East,0.004256238,0.012824384,9.898045,8.700329e-09
1987,11,10,AZ_East,0.0033615017,0.013279365,7.006199,9.9335e-09
1987,12,10,AZ_East,0.0027032746,0.014229916,5.7223196,1.0587801e-08
1988,4,4,AZ_East,0.0026796977,0.006023757,6.783321,5.8664584e-09
1988,5,4,AZ_East,0.0029843757,0.0047981893,8.022897,2.874653e-09
1988,6,4,AZ_East,0.0042116456,0.0116787,11.934598,5.4815055e-09
1988,7,4,AZ_East,0.008419565,0.049345147,23.55527,2.11741e-08
1988,8,4,AZ_East,0.009966596,0.06042109,25.628988,2.8735467e-08
1988,9,4,AZ_East,0.00800904,0.044251062,19.285557,2.0814092e-08
