time,q,Month,Year,Region
1960-02-01,0.0024612578621621,2,1960,AZ_West
1960-03-01,0.0029868440294659,3,1960,AZ_West
1960-04-01,0.0026316874225542,4,1960,AZ_West
1960-05-01,0.0030113990769539,5,1960,AZ_West
1960-06-01,0.0034600196056809,6,1960,AZ_West
1960-07-01,0.0054895015209525,7,1960,AZ_West
1960-08-01,0.0063444062655114,8,1960,AZ_West
1960-09-01,0.0067771909887062,9,1960,AZ_West
1960-10-01,0.0046651980697276,10,1960,AZ_West
1960-11-01,0.0032664697832028,11,1960,AZ_West
1960-12-01,0.0023361922846896,12,1960,AZ_West
1961-01-01,0.002282077579881,1,1961,AZ_West
1961-02-01,0.0023834030903596,2,1961,AZ_West
1961-03-01,0.0028885182068488,3,1961,AZ_West
1961-04-01,0.0026162636543705,4,1961,AZ_West
1961-05-01,0.002829188326432,5,1961,AZ_West
1961-06-01,0.0039524077349346,6,1961,AZ_West
1961-07-01,0.0065000017818027,7,1961,AZ_West
1961-08-01,0.0085894074988983,8,1961,AZ_West
1961-09-01,0.0050781259505831,9,1961,AZ_West
1961-10-01,0.0031001382105657,10,1961,AZ_West
1961-11-01,0.0031306716471547,11,1961,AZ_West
1961-12-01,0.0027836319661427,12,1961,AZ_West
1962-01-01,0.0022297572312676,1,1962,AZ_West
1962-02-01,0.0035070779085633,2,1962,AZ_West
1962-03-01,0.0022893228614067,3,1962,AZ_West
1962-04-01,0.0024048724048352,4,1962,AZ_West
1962-05-01,0.0027715366762345,5,1962,AZ_West
1962-06-01,0.0034192118184336,6,1962,AZ_West
1962-07-01,0.0048894065489736,7,1962,AZ_West
1962-08-01,0.0048290623151521,8,1962,AZ_West
1962-09-01,0.0062643471988275,9,1962,AZ_West
1962-10-01,0.004254169478178,10,1962,AZ_West
1962-11-01,0.0031370473829686,11,1962,AZ_West
1962-12-01,0.0028959593635147,12,1962,AZ_West
1963-01-01,0.0021672534740253,1,1963,AZ_West
1963-02-01,0.0032875613384795,2,1963,AZ_West
1963-03-01,0.0023443511838335,3,1963,AZ_West
1963-04-01,0.0025259267392579,4,1963,AZ_West
1963-05-01,0.0029897373851085,5,1963,AZ_West
1963-06-01,0.0038436543593175,6,1963,AZ_West
1963-07-01,0.0047383497395027,7,1963,AZ_West
1963-08-01,0.008423045845436,8,1963,AZ_West
1963-09-01,0.0066244531507999,9,1963,AZ_West
1963-10-01,0.0051290318008625,10,1963,AZ_West
1963-11-01,0.003653250431502,11,1963,AZ_West
1963-12-01,0.0019537034006233,12,1963,AZ_West
1964-01-01,0.001803650451246,1,1964,AZ_West
1964-02-01,0.0014869714169672,2,1964,AZ_West
1964-03-01,0.0021891222338761,3,1964,AZ_West
1964-04-01,0.0027374306169988,4,1964,AZ_West
1964-05-01,0.0030195474827868,5,1964,AZ_West
1964-06-01,0.0037646453232958,6,1964,AZ_West
1964-07-01,0.0065891718407229,7,1964,AZ_West
1964-08-01,0.0078850013196606,8,1964,AZ_West
1964-09-01,0.0050162007245585,9,1964,AZ_West
1964-10-01,0.0041766546896546,10,1964,AZ_West
1964-11-01,0.0027910759210249,11,1964,AZ_West
1964-12-01,0.0031019780377755,12,1964,AZ_West
