time,tp,Month,Year,Region
1960-05-01,0.0001279435513072,5,1960,AZ_West
1960-06-01,0.0001428423233015,6,1960,AZ_West
1960-07-01,0.0002885561976299,7,1960,AZ_West
1960-08-01,0.0004225341677617,8,1960,AZ_West
1960-09-01,0.0008128171413517,9,1960,AZ_West
1960-10-01,0.0006686066696442,10,1960,AZ_West
1960-11-01,0.0009730569715689,11,1960,AZ_West
1960-12-01,0.000263913920068,12,1960,AZ_West
1961-01-01,0.0005023237504605,1,1961,AZ_West
1961-02-01,9.581027106658982e-05,2,1961,AZ_West
1961-03-01,0.0007776839919828,3,1961,AZ_West
1961-04-01,0.0002750290420983,4,1961,AZ_West
1961-05-01,0.0001450081247704,5,1961,AZ_West
1961-06-01,6.061296264696294e-05,6,1961,AZ_West
1961-07-01,0.0004386034089246,7,1961,AZ_West
1961-08-01,0.0012442191303401,8,1961,AZ_West
1961-09-01,0.0005693734265203,9,1961,AZ_West
1961-10-01,0.0003641476975775,10,1961,AZ_West
1961-11-01,0.0004485480617863,11,1961,AZ_West
1961-12-01,0.0009137636045327,12,1961,AZ_West
1962-01-01,0.0009043565004744,1,1962,AZ_West
1962-02-01,0.0018446455374091,2,1962,AZ_West
1962-03-01,0.0005663423448808,3,1962,AZ_West
1962-04-01,2.4682160215044063e-05,4,1962,AZ_West
1962-05-01,0.0001982219882438,5,1962,AZ_West
1962-06-01,9.326645140693912e-05,6,1962,AZ_West
1962-07-01,0.0001355940845985,7,1962,AZ_West
1962-08-01,0.0001591734027525,8,1962,AZ_West
1962-09-01,0.0007959346408702,9,1962,AZ_West
1962-10-01,0.0003897020740767,10,1962,AZ_West
1962-11-01,0.0001405395335892,11,1962,AZ_West
1962-12-01,0.000643282918922,12,1962,AZ_West
1963-01-01,0.000165190481293,1,1963,AZ_West
1963-02-01,0.0006816101485997,2,1963,AZ_West
1963-03-01,0.0006048273711428,3,1963,AZ_West
1963-04-01,0.0004333111542543,4,1963,AZ_West
1963-05-01,3.993120594576631e-05,5,1963,AZ_West
